run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.0;8;10,00;14,62;14,88;14,38;16,38;enp0s31f6;335;426
2;112;93.6;8;10,00;14,75;15,38;14,12;17,25;enp0s31f6;376;490
3;112;94.0;8;11,25;289,12;287,00;248,75;329,75;enp0s31f6;447;541
4;111;93.4;8;5,00;14,62;15,25;14,25;16,75;enp0s31f6;404;521
5;96.2;80.7;8;8,75;15,38;15,12;14,25;16,88;enp0s31f6;429;560
6;112;93.7;8;11,25;15,00;15,12;14,38;17,00;enp0s31f6;415;546
7;112;93.7;8;7,50;14,62;15,12;14,38;16,88;enp0s31f6;365;475
8;112;93.9;8;5,00;14,75;15,12;14,12;16,88;enp0s31f6;448;554
9;112;93.6;8;6,25;14,88;14,88;14,38;15,75;enp0s31f6;415;499
10;111;93.4;8;6,25;14,75;15,62;14,50;18,88;enp0s31f6;386;499
11;111;93.4;8;6,25;15,62;15,00;13,88;16,12;enp0s31f6;324;428
12;112;94.3;8;7,50;16,88;15,00;14,25;17,12;enp0s31f6;377;504
13;112;93.9;8;3,75;14,75;14,88;14,25;15,88;enp0s31f6;447;554
14;112;93.7;8;8,75;14,75;15,62;14,00;20,62;enp0s31f6;404;520
15;112;93.8;8;10,00;16,75;15,88;14,25;18,50;enp0s31f6;303;399
16;112;93.9;8;8,75;15,62;15,50;14,12;17,12;enp0s31f6;386;470
17;111;93.5;8;8,75;16,00;15,25;13,62;17,25;enp0s31f6;410;519
18;113;94.4;8;10,00;17,25;15,75;14,50;18,25;enp0s31f6;384;501
19;111;93.1;8;6,25;14,75;15,12;14,25;16,50;enp0s31f6;448;549
20;112;94.0;8;7,50;14,75;15,38;14,38;18,25;enp0s31f6;292;400
